doc_id	text	p_green	u	llm_green_suggested	llm_confidence	llm_rationale	is_green_human	notes		average
9281931	1. A method of receiving a control channel by a user equipment in a multi-component carrier system, the method comprising: transmitting a random access preamble to a base station on a secondary serving cell; monitoring, at a control channel element (CCE) aggregation level, a random access-radio network temporary identifier (RA-RNTI)-scrambled physical downlink control channel in a search space, which includes CCEs and is provisionally configured in the secondary serving cell during a response window period; receiving a random access response using the RA-RNTI-scrambled physical downlink control channel; and adjusting an uplink time of the secondary serving cell based on a time advance command (TAC) included in the random access response, wherein the size of the search space is equal to a value obtained by multiplying the number of candidates for the physical downlink control channel by the size of the CCE aggregation level.	0.497536897430372	0.995073794860745	0	low	Prediction based on PatentSBERTa semantic embedding similarity to green vs non-green training claims.	0	Sistema de telecomunicação sem relação com mitigação climática (fora do escopo Y02).	TRUE	0.070000
9296953	1. A system for removing hydrocarbons from sand, the system comprising: a first hopper configured to screen large debris from a contaminated sand source; a first inclined auger in fluid communication with the first hopper; a second hopper in fluid communication with the first inclined auger, the second hopper comprising a eductor; a first desanding unit in fluid communication with the second hopper; a first auger tank having a first compartment and a second compartment and a horizontal auger, wherein the first compartment is configured to receive an under flow from the first desanding unit and the second compartment is configured to receive an overflow from the first desanding unit; a second inclined auger in fluid communication with the horizontal auger; and a separator in fluid communication with the first auger tank and configured to receive a hydrocarbon overflow from the first auger tank.	0.499789862332723	0.999579724665445	0	low	Prediction based on PatentSBERTa semantic embedding similarity to green vs non-green training claims.	1	"Remover hidrocarbonetos de areia contaminada
→ Pode ser remediação ambiental."	FALSE	
9166410	1. A system that provides alternating current (AC) line balancing, comprising: a three-phase power source including a first AC line that provides a first phase current, a second AC line that provides a second phase current, and a third AC line that provides a third phase current; the first, second and third AC lines coupled to a first set of loads that are critical loads that are continuously powered loads for which the AC lines are not switched; a first transfer switch that is only coupled to the first AC line and the second AC line; a second transfer switch that is only coupled to the second AC line and the third AC line; a third transfer switch that is only coupled to the first AC line and the third AC line; the first, second, and third transfer switches are coupled to a second set of loads that are non-critical loads for which the AC lines may be switched, wherein the first second, and third transfer switches couple the first, second, and third AC lines to the second set of loads; a monitoring component that detects the first phase current, the second phase current and the third phase current provided by the first, second and third AC lines to the first and second sets of loads, and identifies a particular AC line from the first, second and third AC lines that provides a highest level of current to the first and second sets of loads; and a control component that configures at least one transfer switch of the first, second, or third transfer switches to couple an AC line other than the particular AC line to the second set of loads.	0.500032436758752	0.999935126482496	1	low	Prediction based on PatentSBERTa semantic embedding similarity to green vs non-green training claims.	0	Sistema de balanceamento elétrico industrial sem indicação de mitigação climática (fora do escopo Y02).	FALSE	
9667408	1. A sampling device for use in a distributed power measurement system, the sampling device comprising: a delta-sigma modulator for sampling a power system quantity to generate a bitstream of delta-sigma modulated sample data; a link interface to send and receive data using a high-speed isochronous data link; a clock circuit to generate a local clock signal; a data storage element to store a sequence number associated with a time-stamp packet received over the link interface; a counter clocked by the local clock signal to determine an offset time between receipt of the time-stamp packet and transmission of framed output data; and a framing controller to generate the framed output data for transmission over the isochronous data link, wherein the framed output data includes the sequence number, the offset time, and the delta-sigma modulated sample data, wherein the counter is to preload a value when resetting the offset time, and wherein the value includes propagation delay within the sampling device between receiving the time-stamp packet and resetting the offset time.	0.500385120799293	0.999229758401414	1	low	Prediction based on PatentSBERTa semantic embedding similarity to green vs non-green training claims.	0	Power measurement and data transmission system without explicit relation to climate change mitigation or energy efficiency (outside Y02 scope).	FALSE	
9224962	1. A luminescent gold(III) compound comprising the chemical structure represented by the following general formula, wherein: (a) [Au] is a cyclometalated tridentate gold(III) group; (b) Unit A is a σ-donating chemical group; (c) Unit B is a central part of the dendrons comprising a branch point of component dendrimers; (d) Unit C is optional surface groups or dendrons of the dendrimers; (e) n=0 or 1.	0.500518646390298	0.998962707219403	1	low	Prediction based on PatentSBERTa semantic embedding similarity to green vs non-green training claims.	0	Chemical compound with no indication of environmental, energy efficiency, or climate mitigation relevance (outside Y02 scope).	FALSE	
9586971	1. An isolated green sulfur bacterium Chlorobaculum limnaeum strain RK-j-1 deposited at National Institute of Technology and Evaluation Patent Microorganisms Depositary (NPMD) as accession number NITE BP-1202.	0.50061391679542	0.998772166409161	1	low	Prediction based on PatentSBERTa semantic embedding similarity to green vs non-green training claims.	0	Biological microorganism disclosure without explicit link to climate mitigation or environmental technology (outside Y02 scope).	FALSE	
8778860	1. A cleaning composition comprising: from 0.1 to 3.0 wt % of a mixture of surfactants including dicaprylyl ether, hexyl glucoside and glyceryl oleate; from 0.25 to 3.0 wt % alkylpolyglycoside; from 0.1 to 3.0 wt % sodium coco sulfate; at least one essential oil; and water.	0.500639321481953	0.998721357036094	1	low	Prediction based on PatentSBERTa semantic embedding similarity to green vs non-green training claims.	0	Cleaning composition without explicit environmental or climate mitigation context (outside Y02 scope).	FALSE	
8585521	1. A transmission comprising: an input member; an output member; a stationary member; a first and a second planetary gear set each having a first member, a second member and a third member; a power-split unit including the first planetary gear set and having: a ratio-changing unit including the second planetary gear set and having:	0.500704459759449	0.998591080481103	1	low	Prediction based on PatentSBERTa semantic embedding similarity to green vs non-green training claims.	0	Mechanical transmission system without explicit indication of energy efficiency improvement or climate mitigation (outside Y02 scope).	FALSE	
9126894	1. An electrochemical gas sensor assembly comprising: a housing; a first and a second electrode positioned within the housing; a substantially solvent-free, ionic liquid electrolyte contained within the housing in electrical contact with the electrodes; and a gas access port, wherein the substantially solvent-free, ionic liquid electrolyte comprises methyl-octyl-imidazolium-chloride, or butyl-methyl-imidazolium-bis-trifluoromethane-sulfonimide, or mixtures thereof, wherein the substantially solvent-free, ionic liquid electrolyte is substantially free of additives wherein the substantially solvent-free, ionic liquid electrolyte is weight-stable after remaining 5 days at a temperature of 80° C.	0.500743208308941	0.998513583382118	1	low	Prediction based on PatentSBERTa semantic embedding similarity to green vs non-green training claims.	0	Gas sensor technology without explicit application to emission reduction or climate mitigation (outside Y02 scope).	FALSE	
9098643	1. A serial bus interface circuit, comprising: at least two serial ports; a memory to store a relationship between serial bus addresses and the at least two serial ports; and a controller to control access to the at least two serial ports, wherein the controller is configured to:	0.500965535837464	0.998068928325072	1	low	Prediction based on PatentSBERTa semantic embedding similarity to green vs non-green training claims.	0	Electronic interface circuit with no relevance to climate change mitigation or environmental technologies (outside Y02 scope).	FALSE	
